sample_size,hal_init_surv_mean_abs_bias_smooth0,hal_init_surv_mean_abs_bias_smooth1,hal_final_surv_mean_abs_bias_smooth0,hal_final_surv_mean_abs_bias_smooth1,ipcw_kde_surv_mean_abs_bias,km_surv_mean_abs_bias,hal_init_surv_mean_variance_smooth0,hal_init_surv_mean_variance_smooth1,hal_final_surv_mean_variance_smooth0,hal_final_surv_mean_variance_smooth1,ipcw_kde_surv_mean_variance,km_surv_mean_variance,hal_init_surv_mean_mse_smooth0,hal_init_surv_mean_mse_smooth1,hal_final_surv_mean_mse_smooth0,hal_final_surv_mean_mse_smooth1,ipcw_kde_surv_mean_mse,km_surv_mean_mse,hal_init_dens_mean_abs_bias_smooth0,hal_init_dens_mean_abs_bias_smooth1,ipcw_kde_dens_mean_abs_bias,hal_init_dens_mean_variance_smooth0,hal_init_dens_mean_variance_smooth1,ipcw_kde_dens_mean_variance,hal_init_dens_mean_mse_smooth0,hal_init_dens_mean_mse_smooth1,ipcw_kde_dens_mean_mse
200,0.013649614790095927,0.001562647351228597,0.004573700195263983,0.0010897752284029967,0.005958456426381294,0.0012907124784208852,0.0004740725153956216,0.0004117131385830238,0.0005256296562468648,0.0004587481779470156,0.0003559394297301141,0.0005268847158384769,0.0007358528700368457,0.00041643409652842195,0.0005552247393028789,0.0004610624000505794,0.00043349912365681423,0.0005297381967874282,0.11922309956140978,0.021558958091771316,0.07273006965804374,0.20453677417639896,0.0763898242632535,0.043082468021146667,0.2199797646107776,0.0773238622178912,0.05428038550906915
400,0.010256287982474712,0.0009315395292148899,0.0028300681205275283,0.0006446901422892581,0.004657491299830825,0.0006181321973695903,0.00022207072276286252,0.00020468968846793178,0.0002532313520349254,0.000221335432072698,0.00017445174585564054,0.0002507613410569939,0.00036813709724574687,0.00020659835716645676,0.0002655393996787133,0.00022217115269448302,0.00022334601856823525,0.00025152470094999037,0.08990230500677501,0.013744282047216663,0.05682695050132662,0.1323725465224756,0.04430978767119488,0.025220846657386713,0.14168676899690463,0.0447258005786896,0.03208225767688721
800,0.008995059203840238,0.0007036409507520084,0.002395503201492109,0.0003390872153905088,0.0036297394702050636,0.000388552604898614,0.00011038540052616815,0.00010067402813678536,0.00012080693059287077,0.00010659179841642633,9.223786857540082e-05,0.0001269806527207334,0.0002189198611874321,0.0001017475984519836,0.0001293808611151576,0.00010682501546599197,0.00012246200049802127,0.0001272777861786027,0.07704948774930896,0.010567008643856405,0.04495601549268238,0.07614041205189367,0.02466582672071827,0.015571702715014327,0.08326431120707672,0.02486805273446984,0.019796123315852236
1600,0.008300120353154555,0.0006121148691832204,0.0018297068620805718,0.00032535627980872036,0.002855539208140077,0.0002618520136881073,6.187813007496564e-05,5.616502888789014e-05,6.426717151680931e-05,5.839238769197906e-05,4.8736777405247926e-05,6.542115609819921e-05,0.00015363132873852435,5.684515513587488e-05,6.916608782985256e-05,5.8563756470835674e-05,6.687614224959947e-05,6.553408401461638e-05,0.06836926125250492,0.009046540100618573,0.034614135319879315,0.042726654187239706,0.015430364218370749,0.00935743253200275,0.048481061471753996,0.01558492973003366,0.011895475989398153
3200,0.008204269296950863,0.0004152774959454232,0.0011669103676598422,0.00021611655987286644,0.0021590482440200847,0.00013175413104499174,3.057494849844759e-05,2.797076243102733e-05,3.129357573327232e-05,2.8720380611745462e-05,2.5178897518074287e-05,3.2309295028358946e-05,0.00011551395126834557,2.8313396887820668e-05,3.326180339766691e-05,2.879732880533876e-05,3.61560610261873e-05,3.2343999525009863e-05,0.06095913801683911,0.006462267422789601,0.026024588786866504,0.025141113575043627,0.008516963998355654,0.005578635650371018,0.02988434762699571,0.008590143989483415,0.007063739331584345
