,hal_init_surv_bias,hal_final_surv_bias,ipcw_kde_surv_bias,km_surv_bias,hal_init_surv_variance,hal_final_surv_variance,ipcw_kde_surv_variance,km_surv_variance,hal_init_surv_mse,hal_final_surv_mse,ipcw_kde_surv_mse,km_surv_mse,hal_init_dens_bias,hal_final_dens_bias,ipcw_kde_dens_bias,hal_init_dens_variance,hal_final_dens_variance,ipcw_kde_dens_variance,hal_init_dens_mse,hal_final_dens_mse,ipcw_kde_dens_mse
0.02,-0.0015109319788052522,-0.00020690640458909115,-1.4337768901029335e-06,-2.0171793428946927e-06,2.5095275237282978e-08,1.1281978829402619e-08,2.1511750912409832e-10,1.5862169378711315e-09,2.3080107198136922e-06,5.409223908934466e-08,2.171732252943051e-10,1.5902859503724447e-09,0.07552033587570509,0.01033177213188077,9.207959482531571e-05,6.266263627189954e-05,2.821116126663057e-05,7.058145776577182e-07,0.0057659837670512104,0.00013495667665173867,7.142932294409124e-07
0.0705263157894736,-0.00532135160926539,-0.0007229456370290155,-1.2796147211280307e-05,-3.27396785981815e-06,3.120573145156948e-07,1.4029031292295382e-07,5.600216999041741e-09,7.512765197004556e-09,2.862884026394711e-05,6.629407070222582e-07,5.763958382495788e-09,7.52348406255219e-09,0.07516578097290529,0.009977217229080966,0.00042787619298017773,6.266263627189954e-05,2.821116126663057e-05,4.7597976147257876e-06,0.005712557265538671,0.0001277560249029006,4.942875651244997e-06
0.1210526315789473,-0.00907298454419636,-0.0011801981739397727,-5.997277068570117e-05,-8.700852628273914e-06,9.193490720583656e-07,4.1330795019069244e-07,4.5937100510524686e-08,5.994490275919464e-08,8.323839761128208e-05,1.8061756799614905e-06,4.9533833734240414e-08,6.002060759565577e-08,0.07252149515184259,0.0073329314080182745,0.0017611497571736216,6.266263627189954e-05,2.821116126663057e-05,2.7906421745242076e-05,0.005322029895330629,8.198304430133145e-05,3.100807021243478e-05
0.171578947368421,-0.012455496551596501,-0.0012683297833200324,-0.00028114957412195274,-7.347883977715242e-06,1.8469705478653198e-06,8.303348906326312e-07,3.1163231889934367e-07,3.777663715726316e-07,0.00015698636489469962,2.438995329889289e-06,3.90677401928326e-07,3.778203629715807e-07,0.05741513511875555,-0.007773428625068761,0.007556449647937211,6.266263627189954e-05,2.821116126663057e-05,0.00018435734170648527,0.003359160376976858,8.863735385566898e-05,0.00024145727298829567
0.2221052631578947,-0.014199171199406169,-5.7967565573302515e-05,-0.001022894345005132,2.3821861725559224e-05,3.289362817497388e-06,1.481313135457353e-06,1.83556626025339e-06,2.18155510779419e-06,0.00020490582556754045,1.4846733741158378e-06,2.8818791012966146e-06,2.1821225888902575e-06,0.006220922144505536,-0.029242214848153224,0.02480599948492225,0.0007382689174739685,0.002978002484268072,0.0008993961179429426,0.0007769687898019678,0.003833109613493625,0.0015147337283889053
0.2726315789473684,-0.01388326036721843,0.0006051182768268548,-0.0031821529504364454,-0.000322785420705185,9.540215888276037e-06,8.027022611329663e-06,8.159510447806435e-06,9.954366400562109e-06,0.00020228513431225264,8.39319074027961e-06,1.828560784777782e-05,1.0058556828381914e-05,-0.018420872563630897,-0.008496765842075926,0.05084226949911258,0.008716110479295602,0.012213743359070037,0.002929786134896626,0.009055439025301133,0.012285938388845103,0.005514722502717019
0.3231578947368421,-0.012369146959832045,0.001231504331821398,-0.005924321553445688,-0.0002279393419496456,2.7685824282002226e-05,2.7997368028091417e-05,2.737318317222947e-05,3.226431842008248e-05,0.00018068162079592438,2.951397094738645e-05,6.247076904085128e-05,3.231627476369093e-05,-0.06097972465470225,-0.019060281758348285,0.056479241753983445,0.03032031471655171,0.04190696163677545,0.008224798681263872,0.03403884153551503,0.04227025597748308,0.011414703430368772
0.3736842105263158,-0.009421101584495606,0.0023940934890324117,-0.009421118802957262,0.00036881502606422867,7.533273263957655e-05,7.882797183784151e-05,7.301899404616493e-05,9.208976883344667e-05,0.000164089887704964,8.45596554720684e-05,0.00016177647354559892,9.222579335689746e-05,-0.10282081681939603,-0.05088287223414922,0.030081274954260495,0.06904074163309101,0.08080448215794235,0.01495166438352465,0.0796128620044988,0.08339354884473912,0.015856547486398472
0.4242105263157895,-0.005215480767490344,0.003359619956285531,-0.008502371536711961,0.0005116382733065805,0.00014874363995196992,0.00015713534103309524,0.0001318226760751367,0.0001707071282152286,0.0001759448795880307,0.00016842238728376736,0.00020411299782342596,0.00017096890193794061,-0.11215538317816165,-0.036895539848493364,-0.0493269049342171,0.10221103031879904,0.13654229568951698,0.02197940731154832,0.11478986029463932,0.1379035765502287,0.02441255086193761
0.4747368421052632,-0.0014807878255617135,0.002422982893900527,-0.005884713398419783,0.000507029804294401,0.0002610702333804312,0.0002656750684209463,0.00019229342706300623,0.00025475105994718307,0.00026326296596476293,0.0002715459145250813,0.00022692327884454811,0.00025500813916962584,-0.08654300959230454,0.015269621852724846,-0.12713351619283886,0.21871056128302135,0.3109163118811714,0.031563515016853796,0.2262002537923151,0.31114947323269665,0.04772644595640865
0.5252631578947369,-0.00016026765314075542,-0.002669123412140151,0.0022952227178122953,-0.00034377649083111583,0.00032096921489202957,0.0003321747395975873,0.00022289516688581867,0.000316377475025021,0.00032099490061267283,0.0003392989593868221,0.0002281632142101804,0.00031649565730066916,-0.10999764580043703,0.013247034603840913,-0.11486128061740786,0.13804816163643238,0.3626720022647088,0.03140047073335311,0.15014764371807082,0.36284748619050416,0.04459358451842407
0.5757894736842105,0.003463393353985017,-0.003844005004514983,0.00547618953053261,-0.00024115353143724927,0.0001990008910019564,0.00021390434950751684,0.00016308361586708637,0.00020961323543120493,0.0002109959845263839,0.00022868072398225293,0.0001930722676414009,0.00020967139045692957,-0.11013560548192514,-0.03421135720088442,-0.05464459201378524,0.12885390686553602,0.20100645269996836,0.030354359265502916,0.14098375846040637,0.20217686966149487,0.03334039070185595
0.6263157894736842,0.008234116066929587,-0.002073139953759018,0.007729142013624513,0.000751976189153597,0.00011302815038047104,0.0001192962096647748,9.030656077417819e-05,0.00012681221906601199,0.00018082881778413884,0.00012359411893264678,0.00015004619704095398,0.00012737768725506595,-0.10348678198010242,-0.047554859448029285,0.03284655956693738,0.09278962067321472,0.12339731038999835,0.02401795014743336,0.10349913471781201,0.1256587750471202,0.025096846622817727
