sample_size,hal_init_surv_mean_abs_bias_smooth0,hal_init_surv_mean_abs_bias_smooth1,hal_final_surv_mean_abs_bias_smooth0,hal_final_surv_mean_abs_bias_smooth1,kde_surv_mean_abs_bias,km_surv_mean_abs_bias,hal_init_surv_mean_variance_smooth0,hal_init_surv_mean_variance_smooth1,hal_final_surv_mean_variance_smooth0,hal_final_surv_mean_variance_smooth1,kde_surv_mean_variance,km_surv_mean_variance,hal_init_surv_mean_mse_smooth0,hal_init_surv_mean_mse_smooth1,hal_final_surv_mean_mse_smooth0,hal_final_surv_mean_mse_smooth1,kde_surv_mean_mse,km_surv_mean_mse,hal_init_dens_mean_abs_bias_smooth0,hal_init_dens_mean_abs_bias_smooth1,kde_dens_mean_abs_bias,hal_init_dens_mean_variance_smooth0,hal_init_dens_mean_variance_smooth1,kde_dens_mean_variance,hal_init_dens_mean_mse_smooth0,hal_init_dens_mean_mse_smooth1,kde_dens_mean_mse
200,0.009727259099490845,0.0010184179262133501,0.0008652739123900359,0.0015251795078994144,0.004915521680180461,0.00046239161786238,0.00023489833731718288,0.0002150784990284077,0.00027388309899453305,0.00026645690299699633,0.00019259659383322653,0.00026145988500000017,0.0003681724525775493,0.00021695967284336045,0.000276813770263602,0.00027469259329154934,0.00024359850828036938,0.0002621026487490532,0.08132598954159206,0.015231080271322351,0.058873940036339334,0.14260421793001893,0.044344893867579,0.02518073650955005,0.15034611651089907,0.04480911641048811,0.0325010829620204
400,0.008974310264873053,0.000703832084734648,0.0009479565838861736,0.0016771837471714992,0.0038674315782353365,0.00018856546986441465,0.00011971074242651547,0.00010684627936758819,0.0001377497524190433,0.00013153691189871485,9.663713757419665e-05,0.00012809115250000003,0.00023173115749120505,0.0001078295901768131,0.00014156222744117464,0.00014060728727485387,0.0001284824966239636,0.00012819706910169464,0.07226880143431177,0.010988575819298112,0.04637121980114034,0.0881299753569609,0.02508867189979049,0.015146654723142894,0.09450171106711226,0.02530254498773562,0.01964277538922869
800,0.008286684444144762,0.0005463558875598503,0.0008483093102340846,0.001605836188213992,0.002880920590676515,0.00016058938580582746,6.031975210240523e-05,5.46562396532176e-05,7.33279099314418e-05,6.745359206149864e-05,4.9923182008395425e-05,6.431276593749994e-05,0.0001496729404806459,5.5230593337129325e-05,7.696178704318183e-05,7.59483792311646e-05,6.826463286619719e-05,6.438192078626122e-05,0.060862302435725865,0.008904307451554523,0.035110531097284695,0.046191535561674185,0.014160181649117703,0.009036222249740393,0.05074503468069071,0.014290871609366786,0.011618154109460545
1600,0.007966625059945815,0.0003797708577342754,0.0008366067358388377,0.0016473990954510172,0.0022303318173412102,0.0001287349132925094,3.7578146422183756e-05,3.0623139252560066e-05,4.3898501737229447e-05,3.7939970623839424e-05,2.8057263635137022e-05,3.515196976562497e-05,0.00011940181367945342,3.092460929351079e-05,4.726538426202004e-05,4.644501409659307e-05,3.9086028086148876e-05,3.5199492017162906e-05,0.05243368251153515,0.00604665996248026,0.026446318305444905,0.042562789203829984,0.008835778328045756,0.00567170178823004,0.046131194124603224,0.008902994808183256,0.00716933833375554
3200,0.007911204123108308,0.0003025680712284474,0.000845928019327475,0.0016888910608414194,0.0017311838215754195,8.934386135997304e-05,1.9925337961560043e-05,1.558853395136764e-05,2.491522802801789e-05,2.0231454376065747e-05,1.4403120345492788e-05,1.7458706132812475e-05,9.8138241467675e-05,1.5772467118497556e-05,2.859224373825164e-05,2.9055800922193962e-05,2.1540917548475523e-05,1.7484638779217588e-05,0.05321451385108973,0.004793505103980155,0.020475852237610434,0.01969571413320433,0.005167367227678465,0.0033416414224571637,0.023288262731477345,0.005204954552142948,0.004262519889114029
