,hal_init_surv_bias,hal_final_surv_bias,kde_surv_bias,km_surv_bias,hal_init_surv_variance,hal_final_surv_variance,kde_surv_variance,km_surv_variance,hal_init_surv_mse,hal_final_surv_mse,kde_surv_mse,km_surv_mse,hal_init_dens_bias,hal_final_dens_bias,kde_dens_bias,hal_init_dens_variance,hal_final_dens_variance,kde_dens_variance,hal_init_dens_mse,hal_final_dens_mse,kde_dens_mse
0.02,-4.358467882115136e-05,5.066768705708213e-07,-1.1161901850575973e-06,5.066768705708213e-07,2.650403681188266e-09,0.0,3.061274879706211e-10,0.0,4.550027909140166e-09,2.567214511714409e-13,3.0737336849980323e-10,2.567214511714409e-13,0.0025369145578936596,-3.9613083322067414e-05,8.764538088195665e-05,7.613673742621171e-06,1.704690311657803e-44,1.6228773223890453e-06,1.4049609216673955e-05,1.569196370281056e-09,1.6305590351789885e-06
0.0705263157894736,-0.0002423864948382093,8.312116295705607e-06,-1.601795633399128e-05,8.458387065202189e-06,5.089182309944487e-08,1.533788424538887e-12,2.5813413972097895e-08,0.0,1.0964303597938402e-07,7.062506573787728e-11,2.6069988897215134e-08,7.154431174477968e-11,0.0057601327780718746,0.00017997070086328635,0.0006168426724414749,1.997512045932213e-05,2.3631099620158454e-05,2.260661810136848e-05,5.3154250080340144e-05,2.366348907332768e-05,2.2987112983913226e-05
0.1210526315789473,-0.0006832261611229296,4.225365892840394e-06,-9.573172824839382e-05,5.19679278920826e-06,2.762930565715771e-07,3.474211576829857e-07,2.581951908234871e-07,3.4509999999997e-07,7.430910438143824e-07,3.474390113999139e-07,2.673597546168902e-07,3.4512700665526285e-07,0.012336439498014103,0.0006651769244673351,0.003155778359475039,6.991643101451679e-05,0.00013692748997374415,0.00015026461151640774,0.00022210417050267918,0.00013736995031458796,0.0001602235485705387
0.171578947368421,-0.0015428955917036191,-6.575472744962951e-06,-0.0004678742625734422,1.0561260435082431e-06,1.2241882324087528e-06,2.4310599088999168e-06,1.8101385594833696e-06,2.3898999999997914e-06,3.604715039307379e-06,2.4311031457417368e-06,2.0290448850620253e-06,2.389901115402012e-06,0.021697770265544813,0.000982141978995113,0.01276394419257144,0.0002821732621606954,0.0007889021967690529,0.0008399614936306135,0.000752966496657056,0.0007898667996359575,0.0010028797649816918
0.2221052631578947,-0.0027515053372455522,4.3569511294472285e-05,-0.00167856260416821,9.64829350060814e-05,5.26017026411681e-06,1.2087271214314217e-05,9.670190148640505e-06,1.173309999999906e-05,1.2830951885007925e-05,1.2089169516628657e-05,1.2487762564752841e-05,1.1742408956746431e-05,0.022694937201646267,-0.00012276474505298896,0.03831649151708283,0.0012055379104330725,0.0038505436606223135,0.0037783782694815185,0.0017205980850197409,0.0038505587318049404,0.005246531791660198
0.2726315789473684,-0.003286600710914911,1.3423851723426417e-05,-0.004764269165885793,0.0002822100310650999,2.2330296695488027e-05,5.2341301706669345e-05,4.27451342294301e-05,5.0485899999999414e-05,3.31320409284749e-05,5.234148190646443e-05,6.544339491443979e-05,5.056554250163313e-05,-0.0090550074371884,-0.0071171926183610235,0.0752566954945314,0.0057518188736176415,0.016087867502529243,0.012616694945185454,0.005833812033305179,0.016138521933296096,0.018280265161942075
0.3231578947368421,-0.0015050759176429285,-0.00015636896382054122,-0.009189655433327837,0.0009050052297839839,9.19219826790097e-05,0.00018026237906239857,0.00013773678130496542,0.00017294189999999903,9.418723619687822e-05,0.00018028683031524485,0.00022218654828825578,0.0001737609344659353,-0.059798327396690665,-0.006044988749515201,0.09652584427548627,0.02723719626383627,0.049950822107426046,0.02964163444971209,0.03081303622327808,0.04998736399640781,0.038958873062807514
0.3736842105263158,0.0013153020948066807,-0.0014766943933809396,-0.014275884737414368,0.001455993158386626,0.0003220012596911971,0.00044525490407630597,0.00033409740132341064,0.0004290739000000019,0.0003237312792918001,0.0004474355304077484,0.0005378982863593531,0.0004311938160772707,-0.038958078051352985,0.038397835172791384,0.04388794436962917,0.08869447409893952,0.12660108188639033,0.055862989186164884,0.09021220594439484,0.12807547563234714,0.05778914084715656
0.4242105263157895,0.0023643173509915183,-0.0033730419972609615,-0.012689008076745889,0.0023368425852479113,0.0007120490796493215,0.0008478562291817706,0.0006201893410355405,0.0008214136000000017,0.0007176390761855214,0.0008592336414970567,0.0007812002670072645,0.0008268744332682296,-0.0040981643445978655,0.040717364743302564,-0.08670769764976427,0.1313387249951794,0.1712085410761715,0.06881883183592134,0.1313555199461747,0.1728664448678106,0.07633705666764418
0.4747368421052632,0.0014470536194249872,-0.005736272191747771,-0.007353032785040847,0.0016464052895424075,0.0010201415618845031,0.0010994373532569404,0.0008431580763578142,0.0010919731000000005,0.0010222355260619941,0.0011323421719147588,0.0008972251674956995,0.0010946837503774335,0.042920513986824727,-0.08986015838588557,-0.1976736229680287,0.18277203260552471,0.19921458171046832,0.07881379161219385,0.1846142031264179,0.20728942977560477,0.11788865282950028
0.5252631578947369,0.0005637479741805174,0.007907088951373209,0.005528864493935082,0.00015359471045822692,0.001039091167736171,0.0012438228532977423,0.0008267714286332498,0.0012471651000000009,0.0010394089795145638,0.0013063449089826705,0.0008573397712255464,0.0012471886913350816,0.0002935429025519021,-0.12699735936296008,-0.2191375897933172,0.1732787135110152,0.21056353975335174,0.08082512957291435,0.17327879967845083,0.22669186903851665,0.12884641283333836
0.5757894736842105,0.0008612431675917853,0.006291638815568379,0.012403844408601483,0.0006131574147525964,0.0006416124056430359,0.0007753499154153249,0.0005579252208497086,0.0007545331000000011,0.0006423541454367596,0.0008149346344008915,0.0007117805769625032,0.000754909062015267,0.008491488395938607,0.040859538396198936,-0.08519367707570513,0.15081593238290492,0.198125169153549,0.07531470896776397,0.15088803775808332,0.19979467103149948,0.0825726715814435
0.6263157894736842,-6.156588014263886e-05,0.0038294262091802395,0.014255877371598849,0.0008340068416135271,0.0003055078993348371,0.00042458388479236163,0.00029713010999105765,0.00041078999999999996,0.0003055116896924348,0.0004392483898839182,0.0005003601496251219,0.0004114855674118582,0.014568190910213108,0.061243036162690334,0.06670401594531694,0.08244202413945925,0.11530952100995683,0.05299447928347869,0.08265425632585567,0.11906023048838142,0.05744390502671179
0.6768421052631579,4.159306715858374e-05,0.001114016787770268,0.008992820228363986,-1.5005229783544849e-05,0.00010546767989379522,0.00016968618249200857,0.00012434071441543216,0.00016348960000000002,0.00010546940987703088,0.00017092721589544253,0.0002052115300751048,0.00016348982515692088,-0.01691420105967678,0.04044070757928586,0.11539445378689517,0.033364867286700614,0.053274460358804364,0.02774435557075703,0.03365095748418779,0.054909911188317666,0.04106023553553294
0.7273684210526316,0.0010537885820979063,-0.00045586174130634975,0.004436935801245951,-0.000742210031064821,2.7497140066732807e-05,5.920191159708066e-05,4.2777798016130865e-05,5.688750000000001e-05,2.8607610442492723e-05,5.940972152426752e-05,6.246419732050891e-05,5.743837573021325e-05,-0.01729954530485367,-0.009327757934503189,0.08191410590312737,0.007520698613172138,0.017143467810906147,0.010957510148973103,0.007819972880926824,0.01723047487899083,0.017667430894881868
0.7778947368421053,0.0013011166975703719,-1.0468138461002668e-05,0.0015859142623630591,-6.648293500588053e-05,5.894503381990651e-06,1.3973319484661027e-05,1.11922563894565e-05,1.35244e-05,7.587408042687083e-06,1.3973429066583866e-05,1.3707380437023067e-05,1.3528819980646994e-05,0.005512018873418401,-0.003886905284507733,0.036092461594016065,0.0016818272205773978,0.004981084019008119,0.003979404645817942,0.0017122095726383186,0.004996192051698853,0.005282070429733468
